id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2209375,Location~Location 2/1 Bungalow walk to everything!,2596933,B,28801,35.6013,-82.55634,Entire home/apt,57,30,143,3/1/2020,1.72,2,76
2213748,LUX VILLA SUNSET SUITE ~ DTN 2M ~ RURAL ~ WILDLIFE,1994122,Marc & Fay,28805,35.60722,-82.53155,Private room,40,30,252,8/10/2020,2.99,8,139
2214960,"IN CITY BEAUTY, FIREPLC, KBED, OFFICE, #1 LOCATION",11297481,Julie,28801,35.61054,-82.55334,Entire home/apt,86,30,223,12/8/2020,2.7,2,91
2222067,Sassy Blue Room in Southslope,11336944,Sharon,28801,35.58225,-82.55814,Entire home/apt,92,2,250,1/17/2021,4.09,2,175
2254521,The Mimosa Room/private entrance/private bath.,546222,Martha,28806,35.56893,-82.56834,Private room,65,28,35,2/7/2021,0.41,1,364
2283071,"Serene Cozy Getaway, Walk to West Avl.",4836597,Karen,28806,35.57816,-82.60315,Private room,29,1,52,3/15/2020,0.62,1,203
2296152,"Victorian Cottage Downtown - ""Green Room""",7535860,Rita,28801,35.60403,-82.56101,Private room,78,1,749,9/11/2020,8.77,2,354
2326086,Downtown Artist Loft,2307713,Krista,28801,35.59541,-82.55329,Entire home/apt,181,1,480,2/15/2021,5.62,3,279
2411109,"Victorian Cottage Downtown - ""Blue Room""",7535860,Rita,28801,35.60048,-82.55759,Private room,74,1,804,1/16/2021,9.56,2,352
2432333,Laurelwood,12430753,Anne,28805,35.59171,-82.51076,Entire home/apt,80,2,115,2/14/2021,2.47,1,0
2454666,"The Hideaway, W. Asheville.  2 BR Apt w/ Hot Tub!",10240937,Joe,28806,35.57943,-82.58682,Entire home/apt,129,2,227,2/15/2021,2.7,1,264
2477628,Modern River-Arts Cottage - Near Downtown/Mission,8035294,Alicia,28801,35.58939,-82.56782,Entire home/apt,125,60,170,10/31/2020,2.03,2,152
2569529,Downtown Asheville 2 bed/2bath unit for rent,8671251,Heather,28801,35.60045,-82.55587,Entire home/apt,85,180,12,7/4/2016,0.14,1,365
2605869,Biltmore Basecamp-King Beds-Views-12 minutes to DT,9385592,Kelsey,28805,35.61582,-82.48318,Entire home/apt,600,3,39,7/19/2020,0.47,4,112
2607570,New Cozy Garage Apt/ Great Location,13238922,Irma,28801,35.60606,-82.54351,Entire home/apt,79,2,81,2/16/2021,0.98,1,297
2708104,AMAZING 1BR/1BA & Office only 1mile N.of Downtown,11297481,Julie,28801,35.61231,-82.55362,Entire home/apt,85,30,194,3/10/2020,2.33,2,122
2925486,Private&charming 1-bdrm apt on golfcourse-hot tub,14937363,Melanie,28805,35.58693,-82.50327,Entire home/apt,139,1,284,1/31/2021,3.43,1,345
2949571,Happy Haven ART Studio 2 Bdrms No Cleaning Fee :),15056995,Celeste & Esiris,28806,35.59595,-82.63034,Entire home/apt,129,2,222,3/18/2020,2.71,2,293
